id,name,speed,size,danger,image_url,description,attribution_text
0,Great White Shark,58,89,96,,,
1,Whale Shark,18,100,4,,,
2,Hammerhead Shark,62,83,79,,,
3,Giant Squid,71,94,88,,,
4,Sailfish,100,58,29,,,
5,Black Marlin,96,74,42,,,
6,Swordfish,88,69,67,,,
7,Barracuda,86,41,77,,,
8,Pufferfish,23,16,84,,,
9,Piranha,67,12,91,,,
10,Lionfish,28,21,86,,,
11,Blue-Ringed Octopus,39,4,100,,,
12,Electric Eel,46,52,93,,,
13,Moray Eel,51,47,73,,,
14,Manta Ray,38,86,14,,,
15,Tuna,76,53,19,,,
16,Clownfish,43,9,6,,,
17,Seahorse,14,6,3,,,
18,Flounder,36,26,11,,,
19,Blobfish,4,31,2,,,
20,Orca (Killer Whale),64,87,97,,,
21,Blue Whale,33,99,3,,,
22,Sperm Whale,41,96,76,,,
23,Bottlenose Dolphin,61,42,18,,,
24,Narwhal,49,56,44,,,
25,Walrus,29,67,61,,,
26,Leopard Seal,47,49,81,,,
27,Manatee,16,62,2,,,
28,Sea Otter,21,14,9,,,
29,Tiger Shark,56,73,91,,,
30,Bull Shark,46,64,93,,,
31,Shortfin Mako Shark,97,54,82,,,
32,Greenland Shark,14,81,38,,,
33,Goblin Shark,24,46,58,,,
34,Stingray,32,34,69,,,
35,Sawfish,36,59,84,,,
36,Colossal Squid,39,92,87,,,
37,Vampire Squid,23,11,16,,,
38,Anglerfish,16,9,51,,,
39,Gulper Eel,19,16,41,,,
40,Giant Isopod,11,4,6,,,
41,Oarfish,21,72,4,,,
42,Box Jellyfish,9,6,99,,,
43,Portuguese Man o' War,4,16,86,,,
44,Stonefish,6,9,96,,,
45,Cone Snail,2,3,97,,,
46,Belcher's Sea Snake,26,11,98,,,
47,Crown-of-Thorns Starfish,4,14,76,,,
48,Saltwater Crocodile,34,71,98,,,
49,Leatherback Sea Turtle,31,64,14,,,
50,Marine Iguana,19,11,6,,,
51,Ocean Sunfish,11,77,2,,,
52,Goliath Grouper,26,66,49,,,
53,Tarpon,51,39,21,,,
54,Mahi-Mahi,69,31,14,,,
55,Coelacanth,14,34,11,,,
56,Mantis Shrimp,82,4,63,,,
57,Japanese Spider Crab,14,51,24,,,
58,Giant Clam,2,42,1,,,
59,Cuttlefish,37,14,21,,,
